NAME,OKATO,NAME2
поселение Киевский,45298555,Киевский
район Филёвский Парк,45268595,Филёвский Парк
поселение Новофёдоровское,45298567,Новофёдоровское
поселение Роговское,45298575,Роговское
"поселение ""Мосрентген""",45297568,"""Мосрентген"""
поселение Вороновское,45298553,Вороновское
поселение Михайлово-Ярцевское,45298564,Михайлово-Ярцевское
поселение Марушкинское,45297562,Марушкинское
поселение Первомайское,45298572,Первомайское
район Матушкино,45272562,Матушкино
район Внуково,45268552,Внуково
район Савёлки,45272568,Савёлки
поселение Внуковское,45297552,Внуковское
район Силино,45272572,Силино
поселение Кокошкино,45297559,Кокошкино
район Крюково,45272580,Крюково
район Щукино,45283587,Щукино
поселение Краснопахорское,45298561,Краснопахорское
район Нагатинский Затон,45296573,Нагатинский Затон
район Старое Крюково,45272576,Старое Крюково
поселение Клёновское,45298558,Клёновское
Дмитровский район,45277574,Дмитровский
поселение Филимонковское,45297577,Филимонковское
городской округ Троицк,45298578,Троицк
район Тёплый Стан,45293586,Тёплый Стан
поселение Щаповское,45298583,Щаповское
поселение Московский,45297565,Московский
поселение Десёновское,45297556,Десёновское
район Ховрино,45277595,Ховрино
район Кунцево,45268562,Кунцево
Ломоносовский район,45293574,Ломоносовский
Можайский район,45268569,Можайский
район Ново-Переделкино,45268577,Ново-Переделкино
район Строгино,45283577,Строгино
Молжаниновский район,45277584,Молжаниновский
район Митино,45283559,Митино
район Куркино,45283555,Куркино
район Крылатское,45268560,Крылатское
район Солнцево,45268588,Солнцево
поселение Сосенское,45297574,Сосенское
поселение Воскресенское,45297554,Воскресенское
Головинский район,45277571,Головинский
район Южное Тушино,45283593,Южное Тушино
район Северное Тушино,45283573,Северное Тушино
район Черёмушки,45293590,Черёмушки
район Покровское-Стрешнево,45283569,Покровское-Стрешнево
район Хорошёво-Мнёвники,45283582,Хорошёво-Мнёвники
район Очаково-Матвеевское,45268579,Очаково-Матвеевское
район Тропарёво-Никулино,45268592,Тропарёво-Никулино
район Левобережный,45277583,Левобережный
район Фили-Давыдково,45268597,Фили-Давыдково
Обручевский район,45293578,Обручевский
поселение Рязановское,45297571,Рязановское
район Раменки,45268584,Раменки
Войковский район,45277565,Войковский
район Сокол,45277589,Сокол
район Западное Дегунино,45277577,Западное Дегунино
район Проспект Вернадского,45268581,Проспект Вернадского
район Южное Бутово,45293594,Южное Бутово
район Ясенево,45293598,Ясенево
район Дорогомилово,45268554,Дорогомилово
район Коньково,45293566,Коньково
Хорошёвский район,45277598,Хорошёвский
район Беговой,45277556,Беговой
район Коптево,45277580,Коптево
городской округ Щербинка,45297581,Щербинка
район Аэропорт,45277553,Аэропорт
Пресненский район,45286575,Пресненский
район Северный,45280585,Северный
Бескудниковский район,45277559,Бескудниковский
Гагаринский район,45293558,Гагаринский
Тимирязевский район,45277592,Тимирязевский
район Северное Бутово,45293582,Северное Бутово
район Лианозово,45280563,Лианозово
район Хамовники,45286590,Хамовники
район Восточное Дегунино,45277568,Восточное Дегунино
Савёловский район,45277586,Савёловский
Академический район,45293554,Академический
район Зюзино,45293562,Зюзино
Алтуфьевский район,45280554,Алтуфьевский
район Марфино,45280567,Марфино
район Чертаново Центральное,45296595,Чертаново Центральное
район Отрадное,45280574,Отрадное
район Арбат,45286552,Арбат
район Чертаново Южное,45296597,Чертаново Южное
Бутырский район,45280561,Бутырский
Тверской район,45286585,Тверской
район Чертаново Северное,45296593,Чертаново Северное
район Якиманка,45286596,Якиманка
район Котловка,45293570,Котловка
Останкинский район,45280572,Останкинский
Донской район,45296561,Донской
район Бибирево,45280558,Бибирево
район Бирюлёво Западное,45296555,Бирюлёво Западное
район Марьина Роща,45280569,Марьина Роща
Нагорный район,45296575,Нагорный
район Свиблово,45280580,Свиблово
Даниловский район,45296559,Даниловский
Мещанский район,45286570,Мещанский
район Южное Медведково,45280594,Южное Медведково
район Замоскворечье,45286560,Замоскворечье
район Северное Медведково,45280583,Северное Медведково
район Нагатино-Садовники,45296571,Нагатино-Садовники
район Москворечье-Сабурово,45296569,Москворечье-Сабурово
район Царицыно,45296590,Царицыно
Басманный район,45286555,Басманный
Красносельский район,45286565,Красносельский
район Ростокино,45280577,Ростокино
Таганский район,45286580,Таганский
Алексеевский район,45280552,Алексеевский
район Сокольники,45263591,Сокольники
район Бирюлёво Восточное,45296553,Бирюлёво Восточное
Бабушкинский район,45280556,Бабушкинский
Южнопортовый район,45290594,Южнопортовый
Ярославский район,45280597,Ярославский
район Печатники,45290582,Печатники
район Богородское,45263552,Богородское
район Метрогородок,45263581,Метрогородок
район Лефортово,45290564,Лефортово
район Орехово-Борисово Северное,45296577,Орехово-Борисово Северное
Лосиноостровский район,45280565,Лосиноостровский
Нижегородский район,45290578,Нижегородский
район Перово,45263583,Перово
район Орехово-Борисово Южное,45296579,Орехово-Борисово Южное
район Марьино,45290572,Марьино
район Вешняки,45263555,Вешняки
район Преображенское,45263594,Преображенское
район Соколиная Гора,45263588,Соколиная Гора
район Люблино,45290568,Люблино
район Текстильщики,45290590,Текстильщики
район Братеево,45296557,Братеево
район Зябликово,45296565,Зябликово
Рязанский район,45290586,Рязанский
район Измайлово,45263570,Измайлово
район Новогиреево,45263576,Новогиреево
район Кузьминки,45290562,Кузьминки
район Гольяново,45263564,Гольяново
район Северное Измайлово,45263585,Северное Измайлово
район Капотня,45290558,Капотня
район Выхино-Жулебино,45290554,Выхино-Жулебино
район Восточный,45263561,Восточный
район Восточное Измайлово,45263558,Восточное Измайлово
район Ивановское,45263567,Ивановское
район Косино-Ухтомский,45263573,Косино-Ухтомский
район Новокосино,45263579,Новокосино
район Некрасовка,45290574,Некрасовка
